Indicator Code: CG0010
"Indicator Name: Communicable, maternal, perinatal and nutritional conditions"
Export date: 11/7/2023 4:28:38 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,1996,Female,Age00,[0],397.00000000,60.42617960,,1364.26116840,
EU,Europe,ALB,Albania,1995,All,Age01_04,[1-4],327.00000000,46.71428571,,118.86586696,
EU,Europe,ALB,Albania,1993,Male,Age01_04,[1-4],264.00000000,50.28571429,,175.29880478,
EU,Europe,ALB,Albania,1989,All,Age00,[0],1490.00000000,61.24126593,,1788.71548620,
EU,Europe,ALB,Albania,2009,Male,Age00,[0],40.00000000,40.00000000,,212.96986476,
EU,Europe,ALB,Albania,2010,All,Age00,[0],61.00000000,37.65432099,,171.62310441,
EU,Europe,ALB,Albania,2010,Male,Age01_04,[1-4],8.00000000,22.85714286,,10.74618846,
EU,Europe,ALB,Albania,2010,Female,Age00,[0],28.00000000,39.43661972,,167.47413123,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age00,[0],93.00000000,95.87628866,,5166.66666670,
EU,Europe,ALB,Albania,1994,Male,Age00,[0],485.00000000,48.64593781,,1310.81081080,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Male,Age01_04,[1-4],4.00000000,57.14285714,,104.87676980,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Female,Age01_04,[1-4],1.00000000,33.33333333,,26.46202699,
EU,Europe,ALB,Albania,2004,Male,Age00,[0],77.00000000,42.77777778,,304.99881169,
EU,Europe,ALB,Albania,2003,All,Age01_04,[1-4],75.00000000,24.83443709,,35.99141965,
